Gage Name	Structure gage having no data estimated prior to construction (post-1990)	Structure gage with missing data that has not been estimated	Period of measured record	Period of hindcasted record
2A300	N	N	1/1/90 - current	None
3A-5	N	N	9/21/05 - current	1/1/90 - 9/20/05
3A10	N	N	1/1/90 - current	None
3A11	N	N	1/1/90 - current	None
3A12	N	N	1/18/90 - current	1/1/90 - 1/17/90
3A9	N	N	1/1/90 - current	None
3AN1W1	N	N	7/18/02 - current	1/1/90 - 7/17/02
3ANE	N	N	1/1/90 - current	None
3ANW	N	N	1/1/90 - current	None
3AS	N	N	1/1/90 - current	None
3AS3W1	N	N	5/9/00 - current	1/1/90 - 5/8/00
3ASW	N	N	1/1/90 - current	None
3B-SE	N	N	1/1/90 - current	None
3BS1W1	N	N	5/9/00 - current	1/1/90 - 5/8/00
A13	N	N	9/25/96 - current	1/1/90 - 9/24/96
ANGEL	N	N	1/1/90 - current	None
BARW4	N	N	3/18/05 - current	1/1/90 - 3/17/05
BARW6A	N	N	2/25/05 - current	1/1/90 - 2/24/05
BCA1	N	N	1/4/90 - current	1/1/90 - 1/3/90
BCA10	N	N	1/1/90 - current	None
BCA11	N	N	12/28/90 - current	1/1/90 - 12/27/90
BCA12	N	N	1/1/92 - current	1/1/90 - 12/31/91
BCA13	N	N	3/20/91 - current	1/1/90 - 3/19/91
BCA14	N	N	3/20/91 - current	1/1/90 - 3/19/91
BCA15	N	N	12/4/00 - current	1/1/90 - 12/3/00
BCA16	N	N	4/26/01 - current	1/1/90 - 4/25/01
BCA17	N	N	11/16/00 - current	1/1/90 - 11/15/00
BCA18	N	N	12/5/00 - current	1/1/90 - 12/4/00
BCA19	N	N	12/13/00 - current	1/1/90 - 12/12/00
BCA2	N	N	1/10/91 - current	1/1/90 - 1/9/91
BCA20	N	N	1/21/01 - current	1/1/90 - 1/20/01
BCA3	N	N	1/1/92 - current	1/1/90 - 12/31/91
BCA4	N	N	2/22/91 - current	1/1/90 - 2/21/91
BCA5	N	N	1/18/91 - current	1/1/90 - 1/17/91
BCA6	N	N	3/10/95 - current	1/1/90 - 3/9/05
BCA7	N	N	1/21/05 - current	1/1/90 - 1/20/05
BCA9	N	N	1/1/00 - current	1/1/90 - 12/31/99
C111_wetland_east_of_FIU_LTER_TSPH5	N	N	10/3/03 - current	1/1/90 - 10/2/03
CP	N	N	1/1/90 - current	None
CR2	N	N	6/8/96 - current	1/1/90 - 6/7/96
CR3	N	N	6/7/96 - current	1/1/90 - 6/6/96
CT27R	N	N	1/1/90 - current	None
CT50R	N	N	2/23/90 - current	1/1/90 - 2/22/90
CV5NR	N	N	1/1/90 - current	None
CY2	N	N	9/21/96 - current	1/1/90 - 9/20/96
CY3	N	N	8/23/96 - current	1/1/90 - 8/22/96
DO1	N	N	1/1/90 - current	None
DO2	N	N	8/8/96 - current	1/1/90 - 8/7/96
E112	N	N	3/22/94 - current	1/1/90 - 3/21/94
E146	N	N	3/24/94 - current	1/1/90 - 3/23/94
EDEN_1	N	N	1/13/06 - current	1/1/90 - 1/12/06
EDEN_10	N	N	6/8/06 - current	1/1/90 - 6/7/06
EDEN_11	N	N	6/9/06 - current	1/1/90 - 6/8/06
EDEN_12	N	N	6/6/06 - current	1/1/90 - 6/5/06
EDEN_13	N	N	6/8/06 - current	1/1/90 - 6/7/06
EDEN_14	N	N	7/2/06 - current	1/1/90 - 7/1/06
EDEN_3	N	N	11/9/05 - current	1/1/90 - 11/8/05
EDEN_4	N	N	6/9/06 - current	1/1/90 - 6/8/06
EDEN_5	N	N	8/23/06 - current	1/1/90 - 8/22/06
EDEN_6	N	N	7/10/06 - current	1/1/90 - 7/9/06
EDEN_7	N	N	6/8/06 - current	1/1/90 - 6/7/06
EDEN_8	N	N	6/7/06 - current	1/1/90 - 6/6/06
EDEN_9	N	N	8/7/06 - current	1/1/90 - 8/6/06
EP1R	N	N	1/1/90 - current	None
EPSW	N	N	1/1/90 - current	None
EVER4	N	N	1/1/90 - current	None
EVER5A	N	N	1/1/90 - current	None
EVER6	N	N	12/24/91 - current	1/1/90 - 12/23/91
EVER7	N	N	12/24/91 - current	1/1/90 - 12/23/91
EVER8	N	N	12/24/91 - current	1/1/90 - 12/23/91
G-1251	N	N	1/1/90 - current	None
G-1488	N	N	1/1/90 - current	None
G-3272	N	N	10/15/95 - current	1/1/90 - 10/14/95
G-3273	N	N	1/1/90 - current	None
